,index,premise,hypothesis,LLM_answer,rationale
4927,4928,A happy older couple share a dance while a younger dancing woman looks on.,"A happy older couple share a dance while a younger dancing woman looks on, smiling.",neutral,The younger dancing woman is not necessarily smiling.
4928,4929,A happy older couple share a dance while a younger dancing woman looks on.,People attend a dance.,entailment,"The older couple is dancing, and the younger woman is dancing."
4929,4930,White and black dog jumping over red-haired dog in grass.,Dog jumps over a princess.,neutral,The red-haired dog is not necessarily a princess.
4930,4931,White and black dog jumping over red-haired dog in grass.,Dog barely jumps over another lazy dog.,neutral,The dog is not necessarily lazy.
4931,4932,White and black dog jumping over red-haired dog in grass.,Dog jumps over dog.,entailment,The white and black dog is jumping over the red-haired dog.
4932,4933,Two people sit on a wooden bench and face each other to talk.,Two people playing catch.,contradiction,The people are not playing catch.
4933,4934,Two people sit on a wooden bench and face each other to talk.,Two women sitting a bench outside.,neutral,The people could be men.
4934,4935,Two people sit on a wooden bench and face each other to talk.,Two people talking while sitting.,entailment,The two people are talking while sitting.
4935,4936,A group of people sit watching an event behind a Tim hortons sign.,There is a group of people sitting,entailment,The people are sitting behind a Tim hortons sign.
4936,4937,A group of people sit watching an event behind a Tim hortons sign.,There is a group of people sitting behind a sign in warm weather,neutral,"The people are sitting behind a sign, but the weather is not necessarily warm."
4937,4938,A group of people sit watching an event behind a Tim hortons sign.,There is a group of people standing outdoors,contradiction,"The people are sitting, not standing."
4938,4939,A small white dogs leaps over the back of a larger dog to chase his toy.,The large dog is beneath the small dog.,entailment,The small dog is leaping over the back of the larger dog.
4939,4940,A small white dogs leaps over the back of a larger dog to chase his toy.,The dogs are baking cookies.,contradiction,The dogs are not baking cookies.
4940,4941,A small white dogs leaps over the back of a larger dog to chase his toy.,The small dog is hungry.,neutral,The small dog is not necessarily hungry.
4941,4942,A man hovers over a woman seated at an art gallery's front desk.,A man and a woman at a desk,neutral,The man is not necessarily seated at the desk.
4942,4943,A man hovers over a woman seated at an art gallery's front desk.,A man and a woman sitting on a bench reading books,contradiction,The man and woman are not sitting on a bench.
4943,4944,A man hovers over a woman seated at an art gallery's front desk.,A man and a woman working at a gallery to raise money for poor children,neutral,The man and woman are not necessarily working at a gallery to raise money for poor children.
4944,4945,Racedog has the number 8.,A racing dog has a number 8.,entailment,Racedog is a racing dog.
4945,4946,Racedog has the number 8.,A race dog is number 9.,contradiction,The number 8 is not the number 9.
4946,4947,Racedog has the number 8.,A race dog has a number of about 8.,neutral,The number 8 is not necessarily about 8.
4947,4948,"A dog, wearing a number 8, running in a race.",The dog is sleeping.,contradiction,"The dog is running in a race, so it cannot be sleeping."
4948,4949,"A dog, wearing a number 8, running in a race.",The dog is fast., ,"The dog is wearing a number 8, so it is in a race. The dog is running in a race, so it is fast."
4949,4950,"A dog, wearing a number 8, running in a race.",The dog is has a digit on itself.,entailment,The dog is wearing a number 8.
4950,4951,"A greyhound runs in a race, bee striped jacket, number eight.",The greyhound is wearing the number seven.,contradiction,"The greyhound is wearing the number eight, not the number seven."
4951,4952,"A greyhound runs in a race, bee striped jacket, number eight.",The greyhound is extremely fast.,entailment,"The greyhound is running in a race, so it must be fast."
4952,4953,"A greyhound runs in a race, bee striped jacket, number eight.",The greyhound is running around a track.,entailment,"The greyhound is running in a race, so it is running around a track."
4953,4954,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,A greyhound dog runs along a dirt track and chases the other greyhounds,contradiction,"The dog is wearing a shirt, so it is not a greyhound."
4954,4955,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,A beagle is wearing a yellow and black shirt.,contradiction,A greyhound dog is not a beagle.
4955,4956,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,The dog is running after a fake rabbit.,entailment,The dog is running along a dirt racetrack.
4956,4957,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,A horse races around the track,contradiction,A greyhound dog is not a horse.
4957,4958,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,There is a puppy laying on a couch,contradiction,The dog is not a puppy. The dog is not laying on a couch.
4958,4959,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,A dog is running a race.,entailment,A greyhound dog is a dog. A dirt racetrack is a racetrack.
4959,4960,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,A race dog is competing,entailment,A race dog is a dog that is competing in a race.
4960,4961,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,There is an animal running outdoors,entailment,A greyhound dog is an animal.
4961,4962,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,"The dog is sitting, waiting to be petted.",contradiction,"The dog is running, not sitting."
4962,4963,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,There is a cat on the racetrack,neutral,"The dog is running on the racetrack, so it is possible that there is a cat on the racetrack."
4963,4964,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,The dog is running.,entailment,The dog is running.
4964,4965,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,The dog is an animal,entailment,A dog is an animal.
4965,4966,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,A dog is at a racetrack.,entailment,A greyhound dog is a dog.
4966,4967,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,The racetrack is long,neutral,The racetrack is not necessarily long.
4967,4968,A greyhound dog wearing a yellow and black shirt runs along a dirt racetrack.,An animal is outside,entailment,A greyhound dog is an animal.
4968,4969,Gray dog with muzzle and with the# 8 yellow striped identification is running.,A gray dog is about to win a race.,neutral,"The dog is running, but it is not necessarily in a race."
4969,4970,Gray dog with muzzle and with the# 8 yellow striped identification is running.,A gray dog is sleeping on the floor.,contradiction,"The dog is running, not sleeping."
4970,4971,Gray dog with muzzle and with the# 8 yellow striped identification is running.,A dog is running a race.,neutral,"The dog is running, but it is not necessarily running a race."
4971,4972,A man wearing white clothes with a blue backpack waits for the blond woman to sign a book.,A man is watching a movie.,contradiction,The man is not watching a movie.
4972,4973,A man wearing white clothes with a blue backpack waits for the blond woman to sign a book.,A man is getting an autograph at a book signing.,entailment,The man is waiting for the blond woman to sign a book.
4973,4974,A man wearing white clothes with a blue backpack waits for the blond woman to sign a book.,A man is waiting in line.,entailment,The man is waiting for the blond woman to sign a book.
4974,4975,A man dressed in red is at the marketplace.,Male vendor stands behind his fruit stand at marketplace,entailment,The man dressed in red is the male vendor.
4975,4976,A man dressed in red is at the marketplace.,Man standing at a market,entailment,The man is standing at the marketplace.
4976,4977,A man dressed in red is at the marketplace.,Man sitting in office,contradiction,The man is not sitting in an office.
4977,4978,A person performing a wheelie trick on a motorcycle in a parking lot.,A person does a stunt on his motorbike.,entailment,A wheelie is a stunt.
4978,4979,A person performing a wheelie trick on a motorcycle in a parking lot.,A woman rides a unicycle in the parking lot.,contradiction,A person performing a wheelie trick on a motorcycle is not a woman riding a unicycle.
4979,4980,A person performing a wheelie trick on a motorcycle in a parking lot.,A daredevil performs a stunt on his motorbike.,entailment,A person performing a wheelie trick on a motorcycle is a daredevil.
4980,4981,A man standing on a motorcycle doing a stunt,A stuntman on a motorcycle,entailment,A stuntman is a man.
4981,4982,A man standing on a motorcycle doing a stunt,a man crashes a car into a pole,contradiction,a man standing on a motorcycle doing a stunt is not a man crashing a car into a pole
4982,4983,A man standing on a motorcycle doing a stunt,a stuntman vaults from his motorcycle,entailment,A stuntman is a man. A stuntman is doing a stunt.
4983,4984,Motorcycle daredevil on reared motorcycle.,Motorcyle crashes into a pile of cars.,neutral,The motorcycle is not necessarily going to crash into a pile of cars.
4984,4985,Motorcycle daredevil on reared motorcycle.,Motorcylist rides his bike.,entailment,A daredevil is a person who does dangerous things. A motorcycle is a bike.
4985,4986,Motorcycle daredevil on reared motorcycle.,Motorcycle rider jumps a few cars.,neutral,The motorcycle rider is not necessarily a daredevil.
4986,4987,Someone riding sideways on a motorcycle.,The rider is straddling the motorcycle.,contradiction,The rider is not straddling the motorcycle.
4987,4988,Someone riding sideways on a motorcycle.,The person is laying in his bedroom.,contradiction,The person is not laying in his bedroom.
4988,4989,Someone riding sideways on a motorcycle.,Someone is riding side saddled on a motor bike.,entailment,A motorcycle is a motor bike.
4989,4990,Someone riding sideways on a motorcycle.,Someone is parked in a car on the street,neutral,The motorcycle is not necessarily parked.
4990,4991,Someone riding sideways on a motorcycle.,The individual sat on a bench in the subway terminal.,neutral,The individual is not necessarily the same person.
4991,4992,Someone riding sideways on a motorcycle.,A person is on a motorcycle.,entailment,A person is someone.
4992,4993,Someone riding sideways on a motorcycle.,The rider is getting ready to leap off the motorcycle.,neutral,The rider is not necessarily getting ready to leap off the motorcycle.
4993,4994,Someone riding sideways on a motorcycle.,"A child is just learning to ride a motorcycle, and doesn't quite know how to mount.",neutral,The person riding the motorcycle is not necessarily a child.
4994,4995,Someone riding sideways on a motorcycle.,There is a person on a machine.,entailment,A motorcycle is a machine.
4995,4996,Someone riding sideways on a motorcycle.,The person wanted to show off to the crowd of onlookers.,neutral,The person could be riding sideways because he/she is not comfortable riding the motorcycle.
4996,4997,Someone riding sideways on a motorcycle.,A man rides a motorcycle sideways on the countryside,neutral,The person riding the motorcycle is not necessarily a man.
4997,4998,Someone riding sideways on a motorcycle.,The birds in the tree are singing and eating worms.,neutral,The birds in the tree are singing and eating worms is not related to someone riding sideways on a motorcycle.
4998,4999,Someone riding sideways on a motorcycle.,A person on a motorcycle is ridding sideways,entailment,The person is riding sideways on a motorcycle.
4999,5000,Someone riding sideways on a motorcycle.,A motorcycle rider is showing off.,neutral,The motorcycle rider is not necessarily showing off.
5000,5001,Young man standing on one hand in front of an audience.,The crowd applauded the young man for standing on one hand.,neutral,The crowd could have been applauding for something else.
5001,5002,Young man standing on one hand in front of an audience.,The young man played his guitar.,contradiction,"The young man is standing on one hand, not playing his guitar."
5002,5003,Young man standing on one hand in front of an audience.,The young adult stood on one hand during his performance.,entailment,The young man is standing on one hand in front of an audience.
5003,5004,Man in a hood performing in front of a group of onlookers.,the man is at home sleeping,contradiction,"the man is not at home, he is performing in front of a group of onlookers."
5004,5005,Man in a hood performing in front of a group of onlookers.,a man is performing,entailment,The man is performing in front of a group of onlookers.
5005,5006,Man in a hood performing in front of a group of onlookers.,the man is paid,neutral,the man is performing in front of a group of onlookers.
5006,5007,A guy is on one hand throwing his feet up surrounded by a crowd.,A man performs tricks for a crowd.,entailment,The man is performing tricks for a crowd.
5007,5008,A guy is on one hand throwing his feet up surrounded by a crowd.,A guy is practicing his stunts in his living room.,contradiction,"The guy is surrounded by a crowd, so he is not in his living room."
5008,5009,A guy is on one hand throwing his feet up surrounded by a crowd.,A man is performing on a city sidewalk.,entailment,The man is performing on a city sidewalk.
5009,5010,A man in a gray hat and tank top with black shorts doing a handstand.,The man is reading a newspaper while seated at his desk.,contradiction,"The man is doing a handstand, not reading a newspaper."
5010,5011,A man in a gray hat and tank top with black shorts doing a handstand.,The man is performing at the circus.,entailment,"The man is doing a handstand, which is a circus act."
5011,5012,A man in a gray hat and tank top with black shorts doing a handstand.,The man has his hands on the ground.,entailment,"If you're doing a handstand, you're hands will be on the ground."
5012,5013,"A woman with blond-hair, glasses, necklace, and a green and blue floral dress is holding a yellow container.",A woman with brown hair is holding a frying pan.,contradiction,The woman in the premise does not have brown hair.
5013,5014,"A woman with blond-hair, glasses, necklace, and a green and blue floral dress is holding a yellow container.",A woman arrives at a potluck and brings a container of her famous stew.,neutral,"The woman is holding a container, but it is not necessarily a container of stew."
5014,5015,"A woman with blond-hair, glasses, necklace, and a green and blue floral dress is holding a yellow container.",A blond woman in a floral dress is holding a container.,entailment,"The woman is blond, and she is wearing a floral dress."
5015,5016,A lady sitting on the edge of a dock reading a book and listening to music.,A woman is outdoors.,entailment,A dock is outdoors.
5016,5017,A lady sitting on the edge of a dock reading a book and listening to music.,A woman is inside watching TV.,contradiction,"The woman is outside, not inside."
5017,5018,A lady sitting on the edge of a dock reading a book and listening to music.,A lady is outside reading and listening to music.,entailment,"The lady is outside, reading, and listening to music."
5018,5019,A man is getting a book autographed.,The gentleman proffered his book for an autograph,entailment,The man is proffering his book for an autograph.
5019,5020,A man is getting a book autographed.,The man was buying diapers at the local Costco,contradiction,The man is not buying diapers at the local Costco.
5020,5021,A man is getting a book autographed.,The man wanted the famous author to sign his book, ,"The man could have wanted the famous author to sign his book, but he could have also wanted the famous author to sign someone else's book.
Answer"
5021,5022,A man with a beard and a woman in sunglasses are standing in front of a liquor store.,The children are in school.,neutral,The children are not in the picture.
5022,5023,A man with a beard and a woman in sunglasses are standing in front of a liquor store.,The man and women are standing.,entailment,The man and women are standing in front of a liquor store.
5023,5024,A man with a beard and a woman in sunglasses are standing in front of a liquor store.,The man and woman are buying beer.,neutral,The man and woman are standing in front of a liquor store.
5024,5025,A man and woman stand on a one way road in front of a red stuccoed building.,Two people stand on a road by a building.,entailment,A man and woman are two people. A one way road is a road. A red stuccoed building is a building.
5025,5026,A man and woman stand on a one way road in front of a red stuccoed building.,A man and woman standing on the sidewalk outside of the subway station.,neutral,The red stuccoed building is not necessarily a subway station.
5026,5027,A man and woman stand on a one way road in front of a red stuccoed building.,A married couple stand on the road outside of their farmhouse.,neutral,The man and woman are not necessarily married. The red stuccoed building is not necessarily a farmhouse.
5027,5028,"Two people look toward the camera as they cross the street in front of a red building with a sign saying, ""Royal.""",Two men cross a street.,neutral,The two people are not necessarily men.
5028,5029,"Two people look toward the camera as they cross the street in front of a red building with a sign saying, ""Royal.""",Two sister relax by a pool.,contradiction,The two people are not necessarily sisters. They are not relaxing by a pool.
5029,5030,"Two people look toward the camera as they cross the street in front of a red building with a sign saying, ""Royal.""",A red building has a sign.,neutral,The red building is not necessarily the building with the sign.
5030,5031,A man in a blue striped shirt and jeans along with a woman in a brown shirt walking across the street.,A man and his sister cross the street to meet their parents.,neutral,The man and woman are not necessarily siblings.
5031,5032,A man in a blue striped shirt and jeans along with a woman in a brown shirt walking across the street.,A man wearing a striped shirt and a woman wearing a polka dotted shirt cross the street.,contradiction,"The man is wearing a blue striped shirt, not a striped shirt. The woman is wearing a brown shirt, not a polka dotted shirt."
5032,5033,A man in a blue striped shirt and jeans along with a woman in a brown shirt walking across the street.,Two people are walking on the street.,entailment,A man and a woman are two people.
5033,5034,Two guys and two girls are playing a casino game.,People are playing a game.,entailment,Guys and girls are people.
5034,5035,Two guys and two girls are playing a casino game.,One guy and Twenty girls are shooting guns.,contradiction,The number of people in the premise is not the same as the number of people in the hypothesis.
5035,5036,Two guys and two girls are playing a casino game.,Two guys and two girls are on a double date.,neutral,The two guys and two girls are not necessarily on a double date.
5036,5037,A man and a woman look to their left near a liquor store.,A man and a woman sleeping in their bed,contradiction,The man and woman are not sleeping in their bed.
5037,5038,A man and a woman look to their left near a liquor store.,A man and a woman near a liquor store,entailment,The man and woman are near a liquor store.
5038,5039,A man and a woman look to their left near a liquor store.,Husband and wife near a liquor store,neutral,"The man and woman could be a couple, but they could also be friends or siblings."
5039,5040,A man dressed as a pirate stands next to a man playing a saxophone as well as a man playing an accordion as viewers watch.,The men are a local comedy act at the new comedy club.,entailment,"The men are dressed as pirates, playing instruments, and have an audience."
5040,5041,A man dressed as a pirate stands next to a man playing a saxophone as well as a man playing an accordion as viewers watch.,There are three men in this picture,entail,The man dressed as a pirate is a man. The man playing a saxophone is a man. The man playing an accordion is a man.
5041,5042,A man dressed as a pirate stands next to a man playing a saxophone as well as a man playing an accordion as viewers watch.,The men are best friends trying to settle a bet of who is better at swimming., ,The men are not necessarily best friends. They are not necessarily trying to settle a bet. They are not necessarily trying to settle a bet of who is better at
5042,5043,"A saxophone player dressed in a blue sweatshirt and an accordion player entertain people on the street, including a pirate.",A sax player plays for money on the street,neutral,"The sax player is dressed in a sweatshirt, not a costume. The accordion player is not dressed in a costume either."
5043,5044,"A saxophone player dressed in a blue sweatshirt and an accordion player entertain people on the street, including a pirate.",A sax player entertains people,neutral,The sax player is not necessarily the only one entertaining people.
5044,5045,"A saxophone player dressed in a blue sweatshirt and an accordion player entertain people on the street, including a pirate.",A drummer plays on the street,neutral,The drummer is not mentioned in the premise.
5045,5046,Man dressed as a Pirate listens with a crowd to a band playing.,man dressed as pirate,entailment,The man is dressed as a pirate.
5046,5047,Man dressed as a Pirate listens with a crowd to a band playing.,pirates put on a concert,neutral,The man dressed as a pirate is not necessarily a pirate.
5047,5048,Man dressed as a Pirate listens with a crowd to a band playing.,girl cries loud,contradiction,The man dressed as a pirate is not a girl.
5048,5049,An eclectic group of musicians and actors perform for a group of tourists.,A monkey is eating a banana,neutral,The premise does not mention a monkey or a banana.
5049,5050,An eclectic group of musicians and actors perform for a group of tourists.,The musicians and actors are improvising.,neutral,The musicians and actors are not necessarily improvising.
5050,5051,An eclectic group of musicians and actors perform for a group of tourists.,Tourist are watching a performance,entailment,The eclectic group of musicians and actors are performing for a group of tourists.
5051,5052,Musicians playing to a crowd of people on the street.,The street is long.,neutral,The street is not necessarily long.
5052,5053,Musicians playing to a crowd of people on the street.,There are people.,entailment,Musicians are people.
5053,5054,Musicians playing to a crowd of people on the street.,The street has no people.,contradiction,"If there are no people on the street, then there cannot be a crowd of people on the street."
5054,5055,A woman with an umbrella following a car on a billboard.,A man is on a billboard.,contradiction,The woman is not a man.
5055,5056,A woman with an umbrella following a car on a billboard.,A woman is on an advertisement.,entailment,A billboard is an advertisement.
5056,5057,A woman with an umbrella following a car on a billboard.,A woman is on a billboard.,entailment,The woman is on a billboard.
5057,5058,A young man does a trick on his skateboard in a somewhat crowded park area.,A young man skateboarding.,neutral,"The young man is skateboarding, but he is not doing a trick."
5058,5059,A young man does a trick on his skateboard in a somewhat crowded park area.,A young man does a trick on his skateboard for an audience.,neutral,The people in the park are not necessarily an audience.
5059,5060,A young man does a trick on his skateboard in a somewhat crowded park area.,A young man diving into a pool.,contradiction,The young man is not diving into a pool.
5060,5061,Muzzled greyhounds are racing on the track.,Dogs race on the track.,entailment,Greyhounds are dogs.
5061,5062,Muzzled greyhounds are racing on the track.,The dogs are racing for practice for a big competition coming up.,neutral,"The dogs are racing, but it is not necessarily for practice."
5062,5063,Muzzled greyhounds are racing on the track.,Muzzled greyhouds are eating Kibbles 'N Bits out of a cereal bowl.,neutral,The greyhounds are not necessarily eating Kibbles 'N Bits out of a cereal bowl.
5063,5064,Dogs race each other on a muddy track.,The dogs are greyhounds,entailment,The dogs are racing each other on a muddy track.
5064,5065,Dogs race each other on a muddy track.,The track is muddy,entailment,The track is muddy because the dogs are racing on it.
5065,5066,Dogs race each other on a muddy track.,The track is dry,contradiction,"If the track is muddy, it cannot be dry."
5066,5067,Race dogs midair while they run.,Huskies are racing in the iditarod,neutral,The dogs in the picture are not huskies.
5067,5068,Race dogs midair while they run.,Fish are swimming in circles,neutral,Race dogs are not fish.
5068,5069,Race dogs midair while they run.,Dogs are racing,entailment,"The dogs are running, and the dogs are in midair."
5069,5070,A boy in a green sweatshirt and blue jeans performs a trick on a skateboard while spectators in the background are looking on.,A young man rides a skateboard.,entailment,A boy is a young man.
5070,5071,A boy in a green sweatshirt and blue jeans performs a trick on a skateboard while spectators in the background are looking on.,The skateboarder performs for the judges.,neutral,The spectators in the background are not necessarily judges.
5071,5072,A boy in a green sweatshirt and blue jeans performs a trick on a skateboard while spectators in the background are looking on.,The piano player finishes his piece of music.,contradiction,The boy in the green sweatshirt and blue jeans is not a piano player.
5072,5073,A male in a green sweatshirt and blue jeans is doing a skateboard trick on a tiled outdoor surface along a river walk.,A man is riding a bike in a park.,contradiction,A skateboard is not a bike. A tiled outdoor surface is not a park.
5073,5074,A male in a green sweatshirt and blue jeans is doing a skateboard trick on a tiled outdoor surface along a river walk.,A skateboarder does a trick.,entailment,A male in a green sweatshirt and blue jeans is a skateboarder.
5074,5075,A male in a green sweatshirt and blue jeans is doing a skateboard trick on a tiled outdoor surface along a river walk.,A skateboarder is grinding along a river walk., ,A male in a green sweatshirt and blue jeans is a skateboarder. A skateboard trick is grinding. A tiled outdoor surface along a river walk is a river walk.
5075,5076,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,The people are standing near a man doing an ollie.,neutral,The people are not necessarily standing near the man.
5076,5077,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,A man is skating.,entailment,A man doing an ollie on a skateboard is skating.
5077,5078,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,The people in the park are watching the skateboarder.,neutral,The people in the park are not necessarily watching the skateboarder.
5078,5079,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,The man is in the park.,entailment,The man is in the park because he is skateboarding in the park.
5079,5080,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,a man rides a skateboard,entailment,The man is riding a skateboard in the picture.
5080,5081,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,The man is riding his bike down the fast lane.,contradiction,"The man is riding a skateboard, not a bike."
5081,5082,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,a man is asleep in front of a cozy fire,contradiction,"The man is not asleep, he is doing an ollie. There is no fire in the picture."
5082,5083,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,A man in a tux rides a cab.,neutral,The man in the hoodie is not the man in the tux.
5083,5084,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,A man is skateboarding near the park.,entailment,"The man is skateboarding, and the people in the background are in the park."
5084,5085,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,The skateboard is on the ground.,contradiction,The skateboard is in the air.
5085,5086,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,a man is a skilled skateboarder,entailment,"The man is doing an ollie, which is a skateboarding trick."
5086,5087,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,The man has never done this trick before.,contradiction,"The man is doing an ollie, which is a trick."
5087,5088,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,A man with ripped jeans skateboards.,neutral,The man in the hoodie could be wearing shorts.
5088,5089,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,The man is good with a skateboard.,entailment,"The man is doing an ollie, which is a trick."
5089,5090,A man in a hoodie does an ollie on his skateboard with people in the park in the background.,The man is sitting down on his skateboard.,contradiction,The man is not sitting down on his skateboard.
5090,5091,A man in a green hoodie is trying to do a trick on his skateboard in a park.,a man in green,entailment,A man in a green hoodie is a man in green.
5091,5092,A man in a green hoodie is trying to do a trick on his skateboard in a park.,the man is white,neutral,the man is not necessarily white.
5092,5093,A man in a green hoodie is trying to do a trick on his skateboard in a park.,the man is nude,contradiction,The man is wearing a green hoodie.
5093,5094,Little redheaded boy looking at a toy train.,A little boy is watching a toy train,neutral,"The boy is looking at the train, not watching it."
5094,5095,Little redheaded boy looking at a toy train.,A little boy is playing catch,contradiction,The boy is not playing catch.
5095,5096,Little redheaded boy looking at a toy train.,A little boy is playing with a toy train,neutral,"The boy is looking at the train, not playing with it."
5096,5097,A woman sits on a stone wall and talks on her phone.,A woman talking to her sister on the phone.,neutral,The woman could be talking to anyone on the phone.
5097,5098,A woman sits on a stone wall and talks on her phone.,A woman reading the newspaper.,contradiction,The woman is not reading the newspaper.
5098,5099,A woman sits on a stone wall and talks on her phone.,A woman talking on the phone.,entailment,The woman is talking on the phone.
5099,5100,Group of people pointing.,A group of people are pointing towards the commotion happening in the street.,entailment,The people are pointing towards the commotion happening in the street.
5100,5101,Group of people pointing.,A group of people are sitting down with their hands folded.,contradiction,The people are not sitting down.
5101,5102,Group of people pointing.,A couple of people have their arm extended.,entailment,"The people are pointing, which means they have their arm extended."
5102,5103,Two women are sitting on a rock next to an open field.,Two women dancing.,contradiction,"The women are sitting, not dancing."
5103,5104,Two women are sitting on a rock next to an open field.,Two women sitting on a rock.,entailment,The open field is not necessary to the sentence.
5104,5105,Two women are sitting on a rock next to an open field.,Two women taking a break after running a mile.,neutral,The women could be sitting on a rock next to an open field for any reason.
5105,5106,A boy wearing blue short standing on the traffic signal pole.,The boy is carrying his school books.,neutral,"The boy is wearing a blue shirt, not a school uniform."
5106,5107,A boy wearing blue short standing on the traffic signal pole.,The boy is wearing red shorts inside his classroom.,contradiction,"The boy is wearing blue shorts, not red shorts. The boy is standing on the traffic signal pole, not inside his classroom."
5107,5108,A boy wearing blue short standing on the traffic signal pole.,The boy is wearing an article of clothing.,entailment,The boy is wearing a shirt.
5108,5109,A young kid is skateboarding at a skate park.,The boy is afraid of skating.,contradiction,"The boy is skateboarding, so he is not afraid of skating."
5109,5110,A young kid is skateboarding at a skate park.,There's a kid skateboarding down the road.,contradiction,"The kid is skateboarding at a skate park, not down the road."
5110,5111,A young kid is skateboarding at a skate park.,The boy is playing at the skate park.,entailment,The boy is skateboarding at the skate park.
5111,5112,Three people sitting on the curb in an Asian city.,A group of people are outside sitting.,neutral,A group of people is more than three people.
5112,5113,Three people sitting on the curb in an Asian city.,A group of people are talking about the weather.,contradiction,"The people are sitting on the curb, not talking."
5113,5114,Three people sitting on the curb in an Asian city.,A group of dogs are riding in a car.,neutral,The people sitting on the curb are not necessarily in a car.
5114,5115,Lots of people are sitting on blankets and lawn chairs in the grass.,There are lots of people sitting on a blanket to watch a movie.,neutral,The people sitting on blankets and lawn chairs are not necessarily watching a movie.
5115,5116,Lots of people are sitting on blankets and lawn chairs in the grass.,There are lots of people sitting on blankets.,contradiction,People sitting on lawn chairs are not sitting on blankets.
5116,5117,Lots of people are sitting on blankets and lawn chairs in the grass.,There is one person sitting on a blanket.,neutral,There is no way to know if there is one person sitting on a blanket.
5117,5118,Young girl playing with streamers.,The girl is outside.,neutral,The girl is not necessarily outside.
5118,5119,Young girl playing with streamers.,A girl playing.,entailment,A girl playing with streamers is still a girl playing.
5119,5120,Young girl playing with streamers.,There is a boy playing basketball.,neutral,The girl is not playing basketball.
5120,5121,"The girl is twirling long, colorful streamers.",The girl is twirling streamers.,entailment,The streamers are colorful and long.
5121,5122,"The girl is twirling long, colorful streamers.",The boy is twilring streamers.,contradiction,The boy is not the girl.
5122,5123,"The girl is twirling long, colorful streamers.",The girl is twirling rainbow streamers.,entailment,The colorful streamers are rainbow streamers.
5123,5124,The girl in the pink shirt is twirling a ribbon.,A boy playing with a ribbon,contradiction,The girl in the pink shirt is not a boy.
5124,5125,The girl in the pink shirt is twirling a ribbon.,A girl practicing,entailment,The girl is practicing twirling a ribbon.
5125,5126,The girl in the pink shirt is twirling a ribbon.,A girl playing with a ribbon,neutral,"The girl is playing with a ribbon, but she is not necessarily playing with it."
5126,5127,a girl wearing a bright pink top is spinning a colorful ribbon around her body.,A girl puts on a show for her family.,entailment,The girl is wearing a bright pink top and spinning a colorful ribbon around her body.
5127,5128,a girl wearing a bright pink top is spinning a colorful ribbon around her body.,A girl in a pink top spins a ribbon.,neutral,The top is not necessarily bright. The ribbon is not necessarily colorful.
5128,5129,a girl wearing a bright pink top is spinning a colorful ribbon around her body.,A boy in a blue shirt spins.,contradiction,The girl is not a boy.
5129,5130,A little girl in a pink shirt and a jean skirt is playing with a ribbon wand outside.,The girl has a red shirt.,contradiction,"The girl is wearing a pink shirt, not a red shirt."
5130,5131,A little girl in a pink shirt and a jean skirt is playing with a ribbon wand outside.,A girl has a pink shirt.,entailment,A little girl is a girl.
5131,5132,A little girl in a pink shirt and a jean skirt is playing with a ribbon wand outside.,The girl is blonde.,neutral,The girl's hair is not visible in the picture.
5132,5133,A skier flies through the air.,a snowboarder is watching the sights,neutral,The skier is not necessarily a snowboarder.
5133,5134,A skier flies through the air.,a skier is out of control tumbling through the air,neutral,The skier could be doing a trick.
5134,5135,A skier flies through the air.,a skier has left the ground and is airborne,entailment,"The skier is flying through the air, so he must have left the ground."
5135,5136,A man in skiing gear is airborne.,A naked man is airborne.,contradiction,The man in skiing gear is not naked.
5136,5137,A man in skiing gear is airborne.,A man in skiing gear.,neutral,"The man is airborne, but the hypothesis does not mention that."
5137,5138,A man in skiing gear is airborne.,A man is jumping while on his skis.,entailment,"The man is airborne, so he is jumping."
