question,premise,hypothesis,label,llm_label,rationale,input
Woman at kite festival on boardwalk</s>Woman goes to a kite festival.,Woman at kite festival on boardwalk,Woman goes to a kite festival.,entailment,entailment,"The woman is at a kite festival, so she goes to a kite festival.",Woman at kite festival on boardwalk</s>Woman goes to a kite festival.
A boy is sitting on a boat with two flags.</s>A blonde person sitting.,A boy is sitting on a boat with two flags.,A blonde person sitting.,neutral,neutral,The boy is not necessarily blonde.,A boy is sitting on a boat with two flags.</s>A blonde person sitting.
Someone is on a black and white motorcycle and putting their feet on the seat.</s>the motorcycle is white and gold.,Someone is on a black and white motorcycle and putting their feet on the seat.,the motorcycle is white and gold.,contradiction,contradiction,The motorcycle is black and white.,Someone is on a black and white motorcycle and putting their feet on the seat.</s>the motorcycle is white and gold.
Three children standing near each other and next to a tall blue wooden post.</s>Kids are standing together.,Three children standing near each other and next to a tall blue wooden post.,Kids are standing together.,entailment,entailment,"The kids are standing near each other, so they are standing together.",Three children standing near each other and next to a tall blue wooden post.</s>Kids are standing together.
A man with a dark blue jacket and denim jeans sitting awkwardly on a red bench outside.</s>A man with a dark blue jacket and denim jeans sitting awkwardly on a red bench outside awaiting his appointment,A man with a dark blue jacket and denim jeans sitting awkwardly on a red bench outside.,A man with a dark blue jacket and denim jeans sitting awkwardly on a red bench outside awaiting his appointment,neutral,entailment,The man is sitting awkwardly on a red bench outside.,A man with a dark blue jacket and denim jeans sitting awkwardly on a red bench outside.</s>A man with a dark blue jacket and denim jeans sitting awkwardly on a red bench outside awaiting his appointment
The cat is looking out of a window situated above ground level in a building.</s>The cat is happy,The cat is looking out of a window situated above ground level in a building.,The cat is happy,neutral,neutral,The cat is looking out of a window situated above ground level in a building.,The cat is looking out of a window situated above ground level in a building.</s>The cat is happy
The picture is taken inside a large church where many people are listening to a man in a robe.</s>A preacher leads a grave side funeral service.,The picture is taken inside a large church where many people are listening to a man in a robe.,A preacher leads a grave side funeral service.,contradiction,neutral,The man in the robe is not necessarily a preacher. The people are not necessarily listening to the man in the robe.,The picture is taken inside a large church where many people are listening to a man in a robe.</s>A preacher leads a grave side funeral service.
The girl with brown hair swam in the water.</s>A girl with brown hair swimming in a creek outside her home.,The girl with brown hair swam in the water.,A girl with brown hair swimming in a creek outside her home.,neutral,entailment,The girl with brown hair is swimming in the water.,The girl with brown hair swam in the water.</s>A girl with brown hair swimming in a creek outside her home.
"One man sits inside and plays the banjo, there are trees behind him outside.</s>A man runs outside.","One man sits inside and plays the banjo, there are trees behind him outside.",A man runs outside.,contradiction,neutral,The man inside is not the same man as the man outside.,"One man sits inside and plays the banjo, there are trees behind him outside.</s>A man runs outside."
A woman is balancing several items on her head that are in bags.</s>The woman carries her bags on her arm.,A woman is balancing several items on her head that are in bags.,The woman carries her bags on her arm.,contradiction,contradiction,The woman is not carrying her bags on her arm.,A woman is balancing several items on her head that are in bags.</s>The woman carries her bags on her arm.
A young man is doing a skateboarding trick while two guys take pictures and another is riding a scooter.</s>A group of high school friends prepare to make a skating video,A young man is doing a skateboarding trick while two guys take pictures and another is riding a scooter.,A group of high school friends prepare to make a skating video,neutral, ,"The young man is doing a skateboarding trick, so he is a skater. The two guys taking pictures are probably filming the trick. The guy riding the scooter is",A young man is doing a skateboarding trick while two guys take pictures and another is riding a scooter.</s>A group of high school friends prepare to make a skating video
"Two young Asian children, coloring on a wall.</s>A brother and sister color a rose on a wall.","Two young Asian children, coloring on a wall.",A brother and sister color a rose on a wall.,neutral,neutral,The two young Asian children are not necessarily a brother and sister.,"Two young Asian children, coloring on a wall.</s>A brother and sister color a rose on a wall."
A man in a blue jacket and a New York Yankees hat with a cellphone in his hand.</s>The man is wearing a red jacket.,A man in a blue jacket and a New York Yankees hat with a cellphone in his hand.,The man is wearing a red jacket.,contradiction,contradiction,"The man is wearing a blue jacket, not a red jacket.",A man in a blue jacket and a New York Yankees hat with a cellphone in his hand.</s>The man is wearing a red jacket.
A young boy is sitting by a pool with an apple in his mouth.</s>The young boy is at a pool party eating an apple.,A young boy is sitting by a pool with an apple in his mouth.,The young boy is at a pool party eating an apple.,neutral,neutral,The young boy is not necessarily at a pool party.,A young boy is sitting by a pool with an apple in his mouth.</s>The young boy is at a pool party eating an apple.
"child in tan shorts, blue striped shirt playing on a beach with birds</s>A child is playing with birds outside.","child in tan shorts, blue striped shirt playing on a beach with birds",A child is playing with birds outside.,entailment,neutral,"The child is playing with birds, but not necessarily outside.","child in tan shorts, blue striped shirt playing on a beach with birds</s>A child is playing with birds outside."
A man sits at a table crowded with military merchandise.</s>An adult is seated.,A man sits at a table crowded with military merchandise.,An adult is seated.,entailment,entailment,A man is an adult.,A man sits at a table crowded with military merchandise.</s>An adult is seated.
A Woman is looking through a telescope while wearing a red coat.</s>A man is peeping with binoculars.,A Woman is looking through a telescope while wearing a red coat.,A man is peeping with binoculars.,contradiction,contradiction,A woman is not a man. A telescope is not binoculars.,A Woman is looking through a telescope while wearing a red coat.</s>A man is peeping with binoculars.
Water log amusement park ride with people in it at night.</s>A flume in use.,Water log amusement park ride with people in it at night.,A flume in use.,entailment,entailment,A flume is a water log amusement park ride.,Water log amusement park ride with people in it at night.</s>A flume in use.
A tan dog swims around in the water.</s>The dog lying in bed,A tan dog swims around in the water.,The dog lying in bed,contradiction,contradiction,"The dog is swimming in the water, not lying in bed.",A tan dog swims around in the water.</s>The dog lying in bed
People in traditional military fare and two people riding elephants somewhere in Southeast Asia.</s>two elephants wallow in mud alone,People in traditional military fare and two people riding elephants somewhere in Southeast Asia.,two elephants wallow in mud alone,contradiction,contradiction,The elephants are not wallowing in mud.,People in traditional military fare and two people riding elephants somewhere in Southeast Asia.</s>two elephants wallow in mud alone
"Two girls, wearing their street clothes, are laying on a pulled out sofa-bed.</s>Two girls lay on a sofa bed.","Two girls, wearing their street clothes, are laying on a pulled out sofa-bed.",Two girls lay on a sofa bed.,entailment,entailment,"The girls are wearing their street clothes, so they are not in their pajamas.","Two girls, wearing their street clothes, are laying on a pulled out sofa-bed.</s>Two girls lay on a sofa bed."
"A woman in a tank top, walks through a market on her cellphone.</s>A woman is on her cellphone.","A woman in a tank top, walks through a market on her cellphone.",A woman is on her cellphone.,entailment,entailment,A woman in a tank top is a woman.,"A woman in a tank top, walks through a market on her cellphone.</s>A woman is on her cellphone."
The three dogs are running around near the shore.</s>Three dogs are running in the city.,The three dogs are running around near the shore.,Three dogs are running in the city.,contradiction,contradiction,"The dogs are running around near the shore, not in the city.",The three dogs are running around near the shore.</s>Three dogs are running in the city.
"Two women talking on cellphones, with posters behind them.</s>the two women are speaking into their cellphones","Two women talking on cellphones, with posters behind them.",the two women are speaking into their cellphones,entailment,entailment,"the two women are talking on their cellphones, so they are speaking into their cellphones.","Two women talking on cellphones, with posters behind them.</s>the two women are speaking into their cellphones"
A man in a heavy jacket sitting on a park bench reading the newspaper.</s>the man is sitting on the top of the moon,A man in a heavy jacket sitting on a park bench reading the newspaper.,the man is sitting on the top of the moon,contradiction,contradiction,"The man is sitting on a park bench, not on the top of the moon.",A man in a heavy jacket sitting on a park bench reading the newspaper.</s>the man is sitting on the top of the moon
A woman in a red shirt and white skirt playing tennis with a blue racket.</s>There is one woman in this picture.,A woman in a red shirt and white skirt playing tennis with a blue racket.,There is one woman in this picture.,entailment,entailment,There is only one woman in the picture.,A woman in a red shirt and white skirt playing tennis with a blue racket.</s>There is one woman in this picture.
A boy in a blue helmet blue and red baseball uniform runs to a base.</s>A boy in a helmet is running.,A boy in a blue helmet blue and red baseball uniform runs to a base.,A boy in a helmet is running.,entailment,entailment,A boy in a baseball uniform is a boy. A boy in a baseball uniform is a boy in a helmet.,A boy in a blue helmet blue and red baseball uniform runs to a base.</s>A boy in a helmet is running.
The man in the blue shirt is looking in the direction to which the little boy is pointing.</s>The man is ignoring the boy.,The man in the blue shirt is looking in the direction to which the little boy is pointing.,The man is ignoring the boy.,contradiction,contradiction,The man is looking in the direction to which the little boy is pointing.,The man in the blue shirt is looking in the direction to which the little boy is pointing.</s>The man is ignoring the boy.
A man is sitting on a couch under an expressway ledge.</s>The man leans back in his recliner.,A man is sitting on a couch under an expressway ledge.,The man leans back in his recliner.,contradiction,contradiction,"The man is sitting on a couch, not a recliner.",A man is sitting on a couch under an expressway ledge.</s>The man leans back in his recliner.
An asian woman eating food on couch.</s>The woman is eating inside.,An asian woman eating food on couch.,The woman is eating inside.,entailment,entailment,"The woman is eating on a couch, which is inside.",An asian woman eating food on couch.</s>The woman is eating inside.
"A person sits at a bus stop bench with a truck that has been heavily spray painted, graffiti style, sits to the left.</s>The truck is plain white.","A person sits at a bus stop bench with a truck that has been heavily spray painted, graffiti style, sits to the left.",The truck is plain white.,contradiction,contradiction,The truck is not plain white because it has been spray painted.,"A person sits at a bus stop bench with a truck that has been heavily spray painted, graffiti style, sits to the left.</s>The truck is plain white."
The mountain biker is descending the hill on a woodland trail.</s>A biker is speeding down a trail.,The mountain biker is descending the hill on a woodland trail.,A biker is speeding down a trail.,entailment, ,"The biker is descending the hill, which means he is going down the hill. The trail is in the woods, which means it is a woodland trail.",The mountain biker is descending the hill on a woodland trail.</s>A biker is speeding down a trail.
Two women are dressed in black bras and underwear as well as green feathers and walking on the street.</s>A plane landing at an airport.,Two women are dressed in black bras and underwear as well as green feathers and walking on the street.,A plane landing at an airport.,contradiction,contradiction,The women are not at an airport.,Two women are dressed in black bras and underwear as well as green feathers and walking on the street.</s>A plane landing at an airport.
A child sleds over a mound of snow as others watch him.</s>The child is on a snow sled.,A child sleds over a mound of snow as others watch him.,The child is on a snow sled.,entailment,neutral,"The child is on a sled, but it is not necessarily a snow sled.",A child sleds over a mound of snow as others watch him.</s>The child is on a snow sled.
A member of the clergy carries a blue bag in his hand and talks on the phone as he walks.</s>A human talks on the phone.,A member of the clergy carries a blue bag in his hand and talks on the phone as he walks.,A human talks on the phone.,entailment,entailment,A member of the clergy is a human.,A member of the clergy carries a blue bag in his hand and talks on the phone as he walks.</s>A human talks on the phone.
An old man standing in front of rolling security doors filled with graffiti.</s>a man stands in front of his business,An old man standing in front of rolling security doors filled with graffiti.,a man stands in front of his business,neutral,neutral,The graffiti on the door is not necessarily his business.,An old man standing in front of rolling security doors filled with graffiti.</s>a man stands in front of his business
A group of Asian children are part of an audience sitting on blue benches.</s>The children are siblings.,A group of Asian children are part of an audience sitting on blue benches.,The children are siblings.,neutral,neutral,The children are not necessarily siblings.,A group of Asian children are part of an audience sitting on blue benches.</s>The children are siblings.
People on stilts in a parade.</s>Some people are performing in a parade.,People on stilts in a parade.,Some people are performing in a parade.,entailment,entailment,People on stilts are people.,People on stilts in a parade.</s>Some people are performing in a parade.
A man and his dog are dressed up in colorful costumes in the street in front of a bakery.</s>The woman and the horse were riding down the trail.,A man and his dog are dressed up in colorful costumes in the street in front of a bakery.,The woman and the horse were riding down the trail.,contradiction,contradiction,The man and the dog are not the woman and the horse.,A man and his dog are dressed up in colorful costumes in the street in front of a bakery.</s>The woman and the horse were riding down the trail.
A dog is in a landfill.</s>There is a dog in the  landfill.,A dog is in a landfill.,There is a dog in the  landfill.,entailment,"entailment

Pre","The word ""a"" is used to describe the dog. The word ""the"" is used to describe the landfill.",A dog is in a landfill.</s>There is a dog in the  landfill.
Someone in a yellow hat is sitting next to two fishing poles.</s>The person is sitting next to one fishing pole.,Someone in a yellow hat is sitting next to two fishing poles.,The person is sitting next to one fishing pole.,contradiction,contradiction,"The person is sitting next to two fishing poles, not one.",Someone in a yellow hat is sitting next to two fishing poles.</s>The person is sitting next to one fishing pole.
Two people enjoying a drink next to there bikes.</s>Two people drink next to some bicycles.,Two people enjoying a drink next to there bikes.,Two people drink next to some bicycles.,entailment,neutral,"The two people are enjoying a drink, not just drinking.",Two people enjoying a drink next to there bikes.</s>Two people drink next to some bicycles.
A group of people are in a subway car.</s>people on horseback ride through green fields,A group of people are in a subway car.,people on horseback ride through green fields,contradiction,neutral,The people in the subway car are not necessarily on horseback.,A group of people are in a subway car.</s>people on horseback ride through green fields
A boy wearing a blue shirt is outdoors and is closely examining a found object with yellow tentacles pointing upwards.</s>A boy outside wears a blue shirt and analyzes something yellow.,A boy wearing a blue shirt is outdoors and is closely examining a found object with yellow tentacles pointing upwards.,A boy outside wears a blue shirt and analyzes something yellow.,entailment,neutral,The boy is not necessarily outside. The object is not necessarily yellow.,A boy wearing a blue shirt is outdoors and is closely examining a found object with yellow tentacles pointing upwards.</s>A boy outside wears a blue shirt and analyzes something yellow.
A German shepherd dog is running toward a tennis ball.</s>A german shepherd is eating dog food.,A German shepherd dog is running toward a tennis ball.,A german shepherd is eating dog food.,contradiction,contradiction,"The dog is running toward a tennis ball, not eating dog food.",A German shepherd dog is running toward a tennis ball.</s>A german shepherd is eating dog food.
A blond boy is doing tricks on his bicycle.</s>The boy rides a bike.,A blond boy is doing tricks on his bicycle.,The boy rides a bike.,entailment,entailment,"The boy is doing tricks on his bicycle, so he must be riding it.",A blond boy is doing tricks on his bicycle.</s>The boy rides a bike.
One girl is doing a handstand on an outdoor trampoline while another girl stands on the trampoline with one hand in the air.</s>The two girls are doing acrobatics outside.,One girl is doing a handstand on an outdoor trampoline while another girl stands on the trampoline with one hand in the air.,The two girls are doing acrobatics outside.,neutral,entailment,The two girls are doing acrobatics outside.,One girl is doing a handstand on an outdoor trampoline while another girl stands on the trampoline with one hand in the air.</s>The two girls are doing acrobatics outside.
A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him.</s>A man anticipates drinking the water set at a table before him.,A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him.,A man anticipates drinking the water set at a table before him.,neutral,entailment,The man is sitting at the table with a glass of water in front of him.,A man wearing a green shirt and a dark colored vest is sitting at a table with a glass of water in front of him.</s>A man anticipates drinking the water set at a table before him.
Boy making a muscle holding paper that says Easter egg hunt.</s>The boy is celebrating Easter.,Boy making a muscle holding paper that says Easter egg hunt.,The boy is celebrating Easter.,neutral,entailment,The boy is holding a paper that says Easter egg hunt.,Boy making a muscle holding paper that says Easter egg hunt.</s>The boy is celebrating Easter.
A young female basketball player in red and white blocks another in possession of the ball who is dressed in white and maroon.</s>A female player blocks her opponents shot on the basketball court.,A young female basketball player in red and white blocks another in possession of the ball who is dressed in white and maroon.,A female player blocks her opponents shot on the basketball court.,entailment, ,The player in red and white is a female player. The player in white and maroon is her opponent. The player in red and white is blocking her opponent',A young female basketball player in red and white blocks another in possession of the ball who is dressed in white and maroon.</s>A female player blocks her opponents shot on the basketball court.
Men and women in Scottish garb play the bagpipes as a runner approaches on the street.</s>People wear traditional clothes and play the bagpipes,Men and women in Scottish garb play the bagpipes as a runner approaches on the street.,People wear traditional clothes and play the bagpipes,entailment,entailment,The people in the picture are wearing traditional clothes and playing the bagpipes.,Men and women in Scottish garb play the bagpipes as a runner approaches on the street.</s>People wear traditional clothes and play the bagpipes
A man dressed in black is sitting on a seat in the subway station that has an opened black umbrella laying on the ground.</s>The man has an umbrella laying on the ground.,A man dressed in black is sitting on a seat in the subway station that has an opened black umbrella laying on the ground.,The man has an umbrella laying on the ground.,entailment,entailment,The man is sitting on a seat in the subway station. The umbrella is laying on the ground.,A man dressed in black is sitting on a seat in the subway station that has an opened black umbrella laying on the ground.</s>The man has an umbrella laying on the ground.
A man performs daring tricks on his motorcycle.</s>Man working at a circus,A man performs daring tricks on his motorcycle.,Man working at a circus,neutral,neutral,"The man could be working at a circus, but he could also be working at a carnival or a fair.",A man performs daring tricks on his motorcycle.</s>Man working at a circus
three people standing in front of what looks like a cement railing.</s>The women wait in the kitchen.,three people standing in front of what looks like a cement railing.,The women wait in the kitchen.,contradiction,neutral,The people are not necessarily women. The people are not necessarily in a kitchen.,three people standing in front of what looks like a cement railing.</s>The women wait in the kitchen.
A man in a red shirt is peeling fruits and coconuts at a push cart.</s>A man is working at a push cart.,A man in a red shirt is peeling fruits and coconuts at a push cart.,A man is working at a push cart.,neutral,entailment,The man is working at a push cart because he is peeling fruits and coconuts.,A man in a red shirt is peeling fruits and coconuts at a push cart.</s>A man is working at a push cart.
An older man stands by a pile of trash.</s>the old guy is by trash,An older man stands by a pile of trash.,the old guy is by trash,entailment,entailment,The old guy is an older man.,An older man stands by a pile of trash.</s>the old guy is by trash
A young girl and an older man sitting on a bench eating ice cream.</s>A young girl and an older man eating ice cream.,A young girl and an older man sitting on a bench eating ice cream.,A young girl and an older man eating ice cream.,neutral,entailment,The young girl and the older man are eating ice cream.,A young girl and an older man sitting on a bench eating ice cream.</s>A young girl and an older man eating ice cream.
A man and child underwater in a swimming pool holding their breath.</s>A father and his son are playing a game.,A man and child underwater in a swimming pool holding their breath.,A father and his son are playing a game.,neutral,neutral,"The man and child could be playing a game, but they could also be swimming.",A man and child underwater in a swimming pool holding their breath.</s>A father and his son are playing a game.
A man in a white shirt cutting a cake while coworkers watch.</s>A make cuts a birthday cake while his friends look on.,A man in a white shirt cutting a cake while coworkers watch.,A make cuts a birthday cake while his friends look on.,neutral,neutral,The coworkers are not necessarily friends.,A man in a white shirt cutting a cake while coworkers watch.</s>A make cuts a birthday cake while his friends look on.
A nurse tending to a patient in a hospital.</s>One person cares for another person.,A nurse tending to a patient in a hospital.,One person cares for another person.,entailment,entailment,A nurse is a person. A patient is a person.,A nurse tending to a patient in a hospital.</s>One person cares for another person.
A child is holding flowers to her face.</s>He eats his own shirt,A child is holding flowers to her face.,He eats his own shirt,contradiction,contradiction,The child is a girl.,A child is holding flowers to her face.</s>He eats his own shirt
A girl running through uneven sand with some withered grass.</s>The girl is not wearing shoes.,A girl running through uneven sand with some withered grass.,The girl is not wearing shoes.,neutral,entailment,The girl is running through uneven sand with some withered grass.,A girl running through uneven sand with some withered grass.</s>The girl is not wearing shoes.
Man building something with wood.</s>A man is building a hut out of clay.,Man building something with wood.,A man is building a hut out of clay.,contradiction,contradiction,The man is not building a hut out of clay.,Man building something with wood.</s>A man is building a hut out of clay.
An older white man in a black cowboy hat sings into a microphone.</s>The man is sitting in silence.,An older white man in a black cowboy hat sings into a microphone.,The man is sitting in silence.,contradiction,contradiction,"If the man is singing into a microphone, he cannot be sitting in silence.",An older white man in a black cowboy hat sings into a microphone.</s>The man is sitting in silence.
A woman offers a tray of watermelon slices to a man in a party setting.</s>The man and woman are at work.,A woman offers a tray of watermelon slices to a man in a party setting.,The man and woman are at work.,contradiction,neutral,The man and woman are not necessarily at work.,A woman offers a tray of watermelon slices to a man in a party setting.</s>The man and woman are at work.
Many cabs lining up at a station close to an elevator.</s>Cabs wait to pick up customers at a busy intersection.,Many cabs lining up at a station close to an elevator.,Cabs wait to pick up customers at a busy intersection.,neutral,neutral,The cabs are not necessarily waiting to pick up customers.,Many cabs lining up at a station close to an elevator.</s>Cabs wait to pick up customers at a busy intersection.
A cowboy at a rodeo has fallen off his horse and on top of a young bull.</s>A cowboy fell off his horse.,A cowboy at a rodeo has fallen off his horse and on top of a young bull.,A cowboy fell off his horse.,entailment,neutral,"The cowboy did fall off his horse, but he also fell on top of a young bull.",A cowboy at a rodeo has fallen off his horse and on top of a young bull.</s>A cowboy fell off his horse.
A brown and white dog wearing a red collar is standing in the snow.</s>The dog is outside in the snow.,A brown and white dog wearing a red collar is standing in the snow.,The dog is outside in the snow.,entailment,entailment,The dog is standing in the snow.,A brown and white dog wearing a red collar is standing in the snow.</s>The dog is outside in the snow.
"a boy laying on his stomach, on a swing</s>The boy is swinging on a swing because he's happy.","a boy laying on his stomach, on a swing",The boy is swinging on a swing because he's happy.,neutral,neutral,The boy could be swinging on a swing because he's bored.,"a boy laying on his stomach, on a swing</s>The boy is swinging on a swing because he's happy."
A small girl is covering her mouth.</s>A small females has her hands over her mouth.,A small girl is covering her mouth.,A small females has her hands over her mouth.,entailment,entailment,A small girl is a small female.,A small girl is covering her mouth.</s>A small females has her hands over her mouth.
"A girl on a bike is wearing a backpack and a helmet, and riding through a wooded area.</s>girl on her bike","A girl on a bike is wearing a backpack and a helmet, and riding through a wooded area.",girl on her bike,entailment,entailment,The girl is on her bike.,"A girl on a bike is wearing a backpack and a helmet, and riding through a wooded area.</s>girl on her bike"
A young woman wearubg a bikini is climbing rocks near a creek.</s>The woman is outdoors,A young woman wearubg a bikini is climbing rocks near a creek.,The woman is outdoors,entailment,entailment,"The woman is wearing a bikini, which is a swimsuit. She is climbing rocks near a creek, which is an outdoor activity.",A young woman wearubg a bikini is climbing rocks near a creek.</s>The woman is outdoors
An older brown-haired woman is holding a young blond girl in pink pajamas as another brunette woman in a green shirt looks on.</s>A woman holds a young girl.,An older brown-haired woman is holding a young blond girl in pink pajamas as another brunette woman in a green shirt looks on.,A woman holds a young girl.,entailment,entailment,The woman is holding a young girl.,An older brown-haired woman is holding a young blond girl in pink pajamas as another brunette woman in a green shirt looks on.</s>A woman holds a young girl.
People are sitting together and smiling.</s>People are sitting together and smiling outside.,People are sitting together and smiling.,People are sitting together and smiling outside.,neutral,entailment,People are sitting together and smiling.,People are sitting together and smiling.</s>People are sitting together and smiling outside.
Happy children rocking out and smiling.</s>Children rocking out.,Happy children rocking out and smiling.,Children rocking out.,neutral,entailment,Happy children are children.,Happy children rocking out and smiling.</s>Children rocking out.
"A man laying on the ground, stairs behind him, a tree in front of him, and pigeons are surrounding the tree.</s>Everyone is indoors.","A man laying on the ground, stairs behind him, a tree in front of him, and pigeons are surrounding the tree.",Everyone is indoors.,contradiction,contradiction,"The man is laying on the ground, stairs behind him, a tree in front of him, and pigeons are surrounding the tree.","A man laying on the ground, stairs behind him, a tree in front of him, and pigeons are surrounding the tree.</s>Everyone is indoors."
"Three people, faces obscured, standing in formal dress.</s>Three people are standing","Three people, faces obscured, standing in formal dress.",Three people are standing,entailment,neutral,"The people are standing in the picture, but they could be sitting down at the moment.","Three people, faces obscured, standing in formal dress.</s>Three people are standing"
People sit and do activities in the sand around a old tractor.</s>The people are making a sand castle.,People sit and do activities in the sand around a old tractor.,The people are making a sand castle.,neutral,neutral,"The people are sitting in the sand, but they are not necessarily making a sand castle.",People sit and do activities in the sand around a old tractor.</s>The people are making a sand castle.
A group of adults and children dressed up and dancing.</s>A group of adults and children sitting in a church.,A group of adults and children dressed up and dancing.,A group of adults and children sitting in a church.,contradiction,neutral,The adults and children are not necessarily sitting in a church.,A group of adults and children dressed up and dancing.</s>A group of adults and children sitting in a church.
fishermen on a wooden boat.</s>A man is fishing in the water.,fishermen on a wooden boat.,A man is fishing in the water.,neutral,neutral,"The man is fishing in the water, but the man is not necessarily a fisherman.",fishermen on a wooden boat.</s>A man is fishing in the water.
A man in a top hat is playing the accordion on the side of a city street.</s>A man is playing the accordion.,A man in a top hat is playing the accordion on the side of a city street.,A man is playing the accordion.,entailment,entailment,A man in a top hat is a man.,A man in a top hat is playing the accordion on the side of a city street.</s>A man is playing the accordion.
a lone person wearing a purple tank top running on the shore at the beach</s>someone is running at the shoreline,a lone person wearing a purple tank top running on the shore at the beach,someone is running at the shoreline,entailment,entailment,"the person is running on the shore, which is the shoreline.",a lone person wearing a purple tank top running on the shore at the beach</s>someone is running at the shoreline
A New York Yankee holds up a bat.</s>A baseball player is holding a bat in the on deck circle.,A New York Yankee holds up a bat.,A baseball player is holding a bat in the on deck circle.,neutral,entailment,A New York Yankee is a baseball player.,A New York Yankee holds up a bat.</s>A baseball player is holding a bat in the on deck circle.
A woman sits on a sidewalk surrounded by fruit.</s>There are lots of apple and oranges.,A woman sits on a sidewalk surrounded by fruit.,There are lots of apple and oranges.,neutral,neutral,"The woman is surrounded by fruit, but the fruit is not necessarily apples and oranges.",A woman sits on a sidewalk surrounded by fruit.</s>There are lots of apple and oranges.
Six men seat in a wooden boat while two are the background surrounded by logs and a green landscape</s>Six men are seated in wooden boat on a lake with two more pictured in the background.,Six men seat in a wooden boat while two are the background surrounded by logs and a green landscape,Six men are seated in wooden boat on a lake with two more pictured in the background.,neutral,neutral,"The men are seated in a wooden boat, not necessarily on a lake.",Six men seat in a wooden boat while two are the background surrounded by logs and a green landscape</s>Six men are seated in wooden boat on a lake with two more pictured in the background.
A woman pushing a shopping cart at a grocery store.</s>A woman carrying her bags to the car,A woman pushing a shopping cart at a grocery store.,A woman carrying her bags to the car,contradiction,contradiction,"The woman is pushing a shopping cart, not carrying bags.",A woman pushing a shopping cart at a grocery store.</s>A woman carrying her bags to the car
A woman has a child on her lap and are laughing.</s>They are sleeping in a tent,A woman has a child on her lap and are laughing.,They are sleeping in a tent,contradiction,contradiction,"The child is on the woman's lap, not on a bed.",A woman has a child on her lap and are laughing.</s>They are sleeping in a tent
"A girl in red shorts walks down a street, passing by a building with many green plants on the walls.</s>the girls is five","A girl in red shorts walks down a street, passing by a building with many green plants on the walls.",the girls is five,neutral,neutral,The girl could be any age.,"A girl in red shorts walks down a street, passing by a building with many green plants on the walls.</s>the girls is five"
A shirtless man is running down a wharf.</s>a man running because he missed the train,A shirtless man is running down a wharf.,a man running because he missed the train,neutral, ,"The man is shirtless, so he is not wearing a shirt. The man is running, so he is not walking. The man is running down a wharf,",A shirtless man is running down a wharf.</s>a man running because he missed the train
A man in a black is putting honey on something.</s>A man is spreading honey.,A man in a black is putting honey on something.,A man is spreading honey.,entailment,entailment,Putting honey on something is spreading honey.,A man in a black is putting honey on something.</s>A man is spreading honey.
"A train station says ""tychy miasto""</s>A train station says ""tychy miasto""","A train station says ""tychy miasto""","A train station says ""tychy miasto""",entailment,entailment,"The train station says ""tychy miasto""","A train station says ""tychy miasto""</s>A train station says ""tychy miasto"""
A football player is running with the ball.</s>A human running,A football player is running with the ball.,A human running,entailment,entailment,A football player is a human.,A football player is running with the ball.</s>A human running
A dark brow dog holds an orange ball in his mouth while walking through water.</s>A dog lies in its bed taking a nap.,A dark brow dog holds an orange ball in his mouth while walking through water.,A dog lies in its bed taking a nap.,contradiction,contradiction,The dog is not lying in its bed. The dog is not taking a nap.,A dark brow dog holds an orange ball in his mouth while walking through water.</s>A dog lies in its bed taking a nap.
A woman in a red dress and black mask is on a crowded dance floor</s>Everyone on the dance floor is wearing a black mask.,A woman in a red dress and black mask is on a crowded dance floor,Everyone on the dance floor is wearing a black mask.,neutral,neutral,The woman in the red dress and black mask is not necessarily the only person on the dance floor.,A woman in a red dress and black mask is on a crowded dance floor</s>Everyone on the dance floor is wearing a black mask.
"A small, wet dog leaps to catch a stick.</s>A dog trying to catch a stick.","A small, wet dog leaps to catch a stick.",A dog trying to catch a stick.,entailment,entailment,"A small, wet dog is a dog.","A small, wet dog leaps to catch a stick.</s>A dog trying to catch a stick."
This tattooed woman stares off into the distance as she sips her drink.</s>A woman eats chips as she stares intently at her plate.,This tattooed woman stares off into the distance as she sips her drink.,A woman eats chips as she stares intently at her plate.,contradiction,contradiction,"The woman is not eating chips, she is sipping her drink.",This tattooed woman stares off into the distance as she sips her drink.</s>A woman eats chips as she stares intently at her plate.
"A man wearing a black shirt and jeans, is walking down the street with his hands in his pockets.</s>A man is dancing down the street with his hands in the air.","A man wearing a black shirt and jeans, is walking down the street with his hands in his pockets.",A man is dancing down the street with his hands in the air.,contradiction,contradiction,"If the man is walking down the street, he cannot be dancing down the street at the same time.","A man wearing a black shirt and jeans, is walking down the street with his hands in his pockets.</s>A man is dancing down the street with his hands in the air."
Five adults standing in front of a house fastening house hold items to someone.</s>The adults are tired from standing,Five adults standing in front of a house fastening house hold items to someone.,The adults are tired from standing,neutral,neutral,"The adults are standing, but they are not necessarily tired.",Five adults standing in front of a house fastening house hold items to someone.</s>The adults are tired from standing
Street performers entertain on street.</s>There are performers on a street.,Street performers entertain on street.,There are performers on a street.,entailment,entailment,Street performers are performers.,Street performers entertain on street.</s>There are performers on a street.
