question,choices
Billy is stumbling about because he has little light.  There's a rolled up map of stars in the corner.  The floor creaks with every step.  His flashlight is fading.  Where might she be?,"['restaurant', 'attic', 'fridge', 'ocean', 'universe']"
Billy liked going to the party.  He enjoyed mixing.  He liked to do what?,"['plan', 'meet new people', 'getting drunk', 'have fun', 'the watusi']"
Billy lived alone by a lake.  He was told he had to move because people weren't allowed to live where?,"['new york', 'state park', 'underwater', 'dead body', 'michigan']"
Billy lived with his uncle.  This was an unusual arrangement. Name something that is different from this arrangement.,"['dormitories', 'older generation', 'most families', ""aunt's house"", 'aunts house']"
Billy owned the finest clothing store in the midwest.  Where might Billy live?,"['strip mall', 'heaven', 'ohio', 'city or town', 'shopping mall']"
Billy put the product on display.  He thought that he was a great attraction that would bring people where?,"['ship on schedule', 'demonstration', 'draw attention to itself', 'store', 'shelf']"
Billy set of the chairs on what surface?,"['floor', 'conference', 'building', 'theater', 'online']"
Billy shoplifted a cheap watch.  Where might he have grabbed it from?,"['jewellers', 'guard tower', 'department store', 'police station', 'bedroom drawer']"
Billy took his desk lamp with him wherever he went.  He needed the lighting and didn't trust the lights at what places?,"['office', 'corner', 'at hotel', 'shop', 'house']"
Billy tried to find the hole but he could not.  He scoured the place many times searching.  What might he have scoured?,"['notebook paper', 'swiss cheese', 'doughnut', 'golf course', 'bagel']"
Billy turned off the water by using the diaphragm.  A diaphragm is a type is what?,"['drugstore', 'human', 'bivalve', 'valve', 'gas pump']"
Billy wanted to have rest because he needed to do what?,"['go to bed', 'eat fish', 'relax', 'get tired', 'lie down']"
Billy wanted to impress his family.  What might he do to impress people?,"['make art', 'believe in god', 'leave', 'come home', 'go out']"
Billy wanted to see a Forrest. Where might he go?,"['national park', 'temperate zone', 'the forest', 'countryside', 'amazon basin']"
Billy was a bee.  He lived where bees live.  Where did he live?,"['michigan', 'apiary', 'orchard', 'bee hive', 'united states']"
Billy was a human being who spent time doing something called a job. Where might a job be done?,"['workplace', 'homes', 'store', 'school', 'park']"
Billy was a solider.  He joined the military because he wanted to do what?,"['to marry', 'fight for freedom', 'report for duty', 'wait for orders', 'receive orders']"
Billy was a student taking a course in communications.  Where might he be taking his classes?,"['every aspect of life', 'library', 'in a movie hall', 'classroom', 'university']"
Billy was a very creative person but he wasn't very social. He wanted to meet new people. What would he have to do to accomplish that?,"['talk to each other', 'go out', 'sing', 'make art', 'come home']"
Billy was at an hold wood and stone cabin.   He found potatoes growing through the floorboards.  Where might the potato plants be?,"['root cellar', 'underground cellar', 'pantry', 'casserole', 'restaurants']"
Billy was doing his homework at the last minute but he could barely think straight.   What might he have been suffering from?,"['sneezing', 'cleanliness', 'exhaustion', 'seizure', 'allergies']"
Billy was happy that you improved yourself.  He invited you to do what?,"['eat better', 'meditate', 'have baby', 'feel better about yourself', 'celebrate']"
Billy was opening a new Deli. He wanted to open it in a place that gets a lot of traffic.  Where might he open it?,"['new york city', 'strip mall', 'shopping center', 'hamburg', 'office building']"
Billy was searching for leaves to add to his collection.  Where might he have looked for them?,"['compost pile', 'floral arrangement', 'trees', 'bathroom', 'forrest']"
Billy was smart but inexperienced.  In many ways he was what?,"['garish', 'bright', 'ignorant', 'make invisible', 'backward']"
Billy wasn't good at communicating with other people so he took a found a mentor and put a lot of effort into doing what?,"['puzzle', 'learning', 'exchanging ideas', 'confusion', 'response']"
Billy went away because his parents were fighting and he didn't want to stay where?,"['home team', 'present', 'at home', 'come back', 'charming']"
Billy's mother tripped over a stuffed animal.  She yelled at him not to leave his things where?,"['toy store', 'hall', 'bathroom', 'amusement park', 'fairgrounds']"
Birds are animals that do a lot of what?,"['get cold', 'move', 'train', 'reproduce asexually', 'travel']"
Birds do what by laying eggs?,"['air', 'pick berries', 'sky', 'breathe', 'reproduce']"
Birds make nests to lay eggs they got from having a what?,"['peck', 'perch', 'roof', 'mate', 'hatch']"
Birds sometimes do what to each other to establish dominance?,"['sky', 'mate', 'hatch', 'forest', 'peck']"
Blood isn't usually spilled during what sport that doesn't allow the use of hands?,"['soccer game', 'capillaries', 'ball', 'animals', 'person']"
Boats that aren't on the ocean travel across the surface of what?,"['lake', 'ocean', 'tetrahedron', 'mirror', 'object']"
Bob asked James to be an alibi witness for him but James is worried about committing perjury. He's afraid he'll be found out and he'll what?,"['shame', 'penalty', 'embarrassment', 'go to jail', 'indictment']"
Bob destroyed Wendy's favorite toy. Wendy isn't sad because she believes she can do what to it?,"['raise', 'make', 'reincarnate', 'repair', 'build']"
Bob didn't know that the secret passageway was there when he bought the place. It led to a bomb shelter in the back yard.  Where might the passage way have been?,"['airport', 'building', 'hotel', 'shopping mall', 'house']"
Bob is a very creative person.  Visiting the museum gave him a lot of what?,"['enjoyment', 'inspiration', 'boredom', 'being bored', 'lethargy']"
Bob is happy that the programs he was in will be seen by millions of people.  Where will these programs be shown?,"['group functions', 'conference', 'theater', 'compute', 'television']"
Bob is in a dressing room.  He's putting on waterproof trunks and goggles.  What sort of facility is he most likely visiting?,"['swimming pool', 'actors and actresses', 'fancy restaurant.', 'gym', 'theatre']"
Bob lost his sunglasses.  He looked everywhere for them.   Where might he get new ones quickly?,"['department store', 'bag', 'glove compartment of car', 'shirt pocket', 'drugstore']"
Bob needs a level to hang a shelf but cant find one in his home. Where would he go to get one?,"['glass of water', 'build evenly', 'garage', ""carpenter's shop"", 'video game']"
Bob pulled a rock out of the ground.  He wanted to examine the thing because he was into geology.   He was also into waterskiing.   He had many what?,"['talents', 'complex', 'interesting', 'learn more about', 'interests']"
Bob raised the curtain and people descended upon him like a hoard.  He regretted his job on this of all days. Where does Bob work?,"['theater', 'show', 'house', 'a stage hand', 'department store']"
Bob rested his bottom on a chair in the orchestra pit.  A bottom is also called what?,"['auditorium', 'chin', 'butt', 'opera house', 'theatre']"
Bob the mouse lived in a densely populated area.  Where might he look for shelter?,"['kitchen', 'corn field', 'abandoned houses', 'shed', 'desktop']"
Bob was having fun with bill.  How might Bob express his feelings?,"['accident', 'stress relief', 'happiness', 'may laugh', 'pleasure']"
Bob was tossed from his boat in the pacific ocean near the United States.  He sees a shore to the east and swims toward it. Where is he most likely swimming to?,"['seaside town', 'florida', 'ocean', 'picture of sea side', 'california']"
Bobby found the lamp beside him when he got up. Where was the lamp?,"['building', 'house', 'store', 'ocean', 'bedroom']"
Bobby noticed that the silverware was plastic.  This was a turn off for him because it was so cheap.  Where might he have been?,"['restaurant', 'silver', 'cupboard', 'table', 'kitchen']"
Boris was lying to Natasha. That dress did make her but look far.  But he wanted to avoid what?,"['being fired', 'trouble', 'hurt feelings', 'overweight', 'being found out']"
Both sides in World War I used what to cause death that is now banned?,"['homicide', 'poisonous gas', 'cyanide', 'nuclear weapons', 'massive weapons']"
Brenda spent a lot of effort on washing herself.  She hated what?,"['get messy', 'cleaning', 'get dirty', 'getting dirty', 'being dirty']"
Brian was a soldier.  he just got word that he was called back to active service.  He'd have to do what soon?,"['report for duty', 'wait for orders', 'fight for freedom', 'obay', 'receive orders']"
Bringing suit against a family member will cause what with the rest of the family?,"['peace', 'aggravation', 'randomness', 'tensions', 'verdict']"
Brother Dan sat in a holding char around in a circle and talked to his peers.  Where could he have been?,"['meeting hall', 'office', 'closet', 'school', 'auditorium']"
Building in downtown New York are not?,"['underground', 'small', 'solid', 'tall', 'huge']"
Businesses giving assistance to those in need build what?,"['fear', 'dependence', 'happiness', 'smiles', 'good will']"
By the end of one field the sharp scythe wasn't cutting because it had become what?,"['blunt', 'ocean', 'flat', 'unobservant', 'dim']"
California is known for sunshine and what theme park?,"['disneyland', 'frozen sea', 'windowsill', 'street', 'meadow']"
Cameron was sleeping under the covers.  He was hunkered down because it was about to do what?,"['talking', 'get cold', 'snoring', 'might dream', 'wet bed']"
Can you name a good reason for attending school?,"['get smart', 'boredom', 'colds and flu', 'taking tests', 'spend time']"
Care not to burn you hand on the handle of what small high-walled vessel?,"['brush', 'carry object', 'walking stick', 'umbrella', 'saucepan']"
Cats always tickle me with their?,"['purring', 'four paws', 'four legs', 'two eyes', 'whiskers']"
Cats are laying by the refrigerator why do they do that?,"['lie down', 'like heat', 'eating fish', 'drink water', 'come to dinner']"
Celebrating sports teams sometimes start what when they get out of hand?,"['dashing each others', 'intimacy', 'riots', 'happiness', 'headaches']"
Celebrating with too many drinks will lead to what kind of pain the next morning?,"['nausea', 'intimacy', 'drinking', 'riots', 'headaches']"
Changing society using a violent conflict is know as a what?,"['action', 'demonstration', 'understanding', 'vote', 'revolution']"
Chatting with friends and playing games is great what?,"['floating', 'laughter', 'fun', 'inspiration', 'discomfort']"
Chatting with friends can be bad for your health if you join them outside while they what?,"['laughing', 'smoke', 'laugh loud', 'tell story', 'lie']"
Children can become obsessed.  Charlie focused on reproducing what made him feel good.  He wanted to squeeze all the what out of every experience.,"['children', 'overpopulation', 'birth', 'fun', 'larger family']"
Children leave home with clean clothes and then?,"['use water', 'soap', 'launder', 'cry', 'get dirty']"
Children like to play. They can easily do what?,"['go to movies', 'play with toys', 'read to', 'imagine', 'have fun']"
Clean linen was important in John's workplace Where might John work?,"['hospital', 'daycare', 'dresser drawers', 'at hotel', 'cabinet']"
Climbing a hill can give you a good way to survey what?,"['great outdoors', 'the clown', 'virginia', 'landscape', 'countryside']"
Climbing a hill when hiking can really give one an appreciation of what?,"['countryside', 'landscape', 'virginia', 'great outdoors', 'price']"
Collections of atoms called molecules make up everything you can hold in your what?,"['atom', 'anything', 'air', 'feet', 'hands']"
Colorado became one of the first to legalize recreational marijuana in the what?,"['mexico', 'america', 'texas', 'arizona', 'united states']"
Colorado is two states away from the border with what nation?,"['arizona', 'mexico', 'utah', 'united states', 'texas']"
Competing viewpoints can lead to a what between two people?,"['enemies', 'argument', 'tension', 'battle', 'stress']"
Computers with audio cards can do what?,"['do work', 'produce sound', 'follow instructions', 'advance knowledge', 'solve problems']"
Contemplating a concept can lead to what?,"['revelations', 'action', 'understanding', 'discovery', 'wisdom']"
Cows outnumber people 4 to 1 in what state north of Kansas?,"['advertisement', 'nebraska', 'countryside', 'fairy tale', 'iowa']"
Crabs crawl along the bottom of what?,"['bodies of water', 'fish market', 'aquarium', 'saltwater', 'galapagos']"
Cuddling in bed after sex is what kind of way to spend time with a loved one?,"['painful', 'adorable', 'dirty', 'effect of insemination', 'pleasant']"
Curiosity lead James to put extra effort into doing what at the fair?,"['see exhibits', 'design software', 'read book', 'use television', 'eating dinner']"
Customers should always do what if they want to be respected by companies?,"['mail orders', 'praise them on siciso media', 'offer tips', 'demand satisfaction', 'spend money']"
Dan found a bunch of ball bearings behind a wall when he was doing renovations.  Where might that wall have been?,"['high quality motor', 'skatepark', 'machines', 'church', 'can']"
Dan is always giving assistance.  He what does he want to create for people?,"['better circumstances', 'happiness', 'people helped', 'learning new skills', 'death']"
Dan is driving a car.  His foot presses the accelerator.  The car should be doing what?,"['moving', 'going someplace', 'getting somewhere', 'slow down', 'get sleepy']"
Dan is very creative. He likes to read and wants to make something like that.   On a rainy day he tries his hand.  What might he do?,"['write', 'go to movie', 'stay in bed', 'enjoy film', 'make bread']"
Dan loved playing chess but he just couldn't anymore.  He had been debilitated by what?,"['boredom', 'humility', 'arthritis', 'frustration', 'headaches']"
Dan outfitted his house to run on the oldest heat source on Earth. What is the oldest heat source on Earth?,"['fire', 'solar energy', 'sun', 'house', 'coal or wood']"
Dan said that getting in line was the best choice because it would lead to what?,"['being ordered', 'less confusion', 'boredom', 'standing in line', 'have to wait for']"
Dan thought that he was bad.  But hid Queen disagreed.  She knighted him.  She thought he was what?,"['exceptional', 'upright', 'choice', 'sufficient', 'worthy']"
Dan wondered where those ball bearings came from.  Ball bearings are used in what sort of thing?,"['support axial loads', 'can', 'allow movement', 'machines', 'church']"
Dan's job was talking phone calls.  That was his only job.  He didn't get to do what?,"['car accident', 'decisions', 'draw pictures', 'irritation', 'regret']"
Dan's mother always told him that bathing was necessary because it led to what?,"['dry skin', 'nudity', 'cleanliness', 'use soap', 'having a strong scent']"
Dancing for a long time will lead you to become what?,"['sore', 'intercourse', 'fatigue', 'become tired', 'expression']"
Dancing or walking too much will lead to what on your feet?,"['humiliation', 'fatigue', 'skin', 'blisters', 'exhaustion']"
Dancing poorly in public may make you feel what?,"['exhaustion', 'recognizance', 'blisters', 'humiliation', 'fatigue']"
Danny hasn't experienced all that it means to be human yet.  He is missing something important.  What might he be missing?,"['space shuttle', 'library', 'school', 'love', 'wife']"
Danny hated helping people.  It always brought what?,"['satisfaction', 'good feelings', 'complications', 'feel good about yourself', 'stress']"
Danny liked to watch birds.  Birds don't have arms.  What do they have instead of arms?,"['beak', 'ability to fly', 'feet', 'wings', 'learn to fly']"
Danny noticed a ceramic object on the table and picked a grape out of it.  What might have been on the table?,"['kitchen', 'painting of fruits', 'fruit basket', 'bowl of fruit', 'fruit stand']"
Danny sealed the box and wrote the address on it. Then he took it where?,"['warehouse', 'closet', 'post office', 'street', 'garage']"
Danny sealed the small box and put it somewhere cozy and out of the way but easily accessible. Where might he put it?,"['cellar', 'car', 'garage', 'closet', 'post office']"
Danny thought about fixing up his floor and making it look good. What might he use to do what?,"['carpet', 'chair', 'table', 'bed', 'desk']"
Danny was having fun singing in front of his class.   He has a lot of what?,"['laughter', 'being happy', 'glee', 'opera', 'injuries']"
Danny was young human.  He didn't have a job. Instead he went where?,"['museum', 'homes', 'workplace', 'school', 'library']"
Daryl is 16 years old  and he's on a football team. Where is his team's home football field most likely located?,"['college campus', 'oklahoma', 'high school', 'park', 'school campus']"
Dave felt that punishing John for making a mistake would be wrong.  It would not be just. It would only be what?,"['hatred', 'feel sorry for', 'feel guilty', 'retribution', 'funny']"
Dave worked hard because he wanted to know what his wife was thinking and feeling.  He put effort into listening to her  and this lead to him understanding her better.  Both of them found something in this. What did they obtain?,"['increased knowledge', 'satisfaction', 'friendships', 'compassion', 'increase knowledge']"
Death Valley is in the North American what?,"['country', 'continent', 'west virginia', 'mountainous region', 'mountainous area']"
Debbie noticed that there was a ficus decorating the room while she was getting a perm.  Where was this plant?,"['arboretum', 'hair salon', 'family room', 'flower garden', 'in the sink']"
Deciding to watch tv or play with your cell phone might be a routine but they provide no help in being able to do what?,"['have tv', 'fall asleep', 'learn', 'sitting', 'dancing']"
Densely packed trees in a forest do what in order to reach sunlight?,"['burn', 'wall in', 'grown in soil', 'covered with snow', 'grow tall']"
Despite his disdain for the man's action the bravery he showed was what worthy?,"['admire', 'loving', 'adore', 'revere', 'honor']"
Despite numerous bad public reviews the expert found the product to be what?,"['sincere', 'adequate', 'first rate', 'passable', 'sufficient']"
Despite this name out front you will also find beer and wine where too?,"['liquor store', 'texas', 'art show', 'basement', 'spaghetti sauce']"
Devil's food is something you can win at what fundraising game popular at churches?,"['satanism', 'angel', 'yoke devil', 'cakewalk', 'god']"
Diligently taking care of proposals got him good what?,"['paper work', 'getting work done', 'marriage', 'results', 'efficiency']"
Discovering truth normally occurs at what part of a research process?,"['enlightenment', 'conclusion', 'beginning', 'relief', 'happiness']"
Discovering truth would come during what part of serious research?,"['sick', 'pain', 'conclusion', 'relief', 'happiness']"
Disney has an entire ride dedicated to getting what to the world?,"['satisfaction', 'fun', 'wanting more', 'joy', 'new realization']"
Diving off a cliff for a cartoon character often ends in comedic what?,"['exhilaration', 'dismemberment', 'spinal injuries', 'getting wet', 'splats']"
Dogs are omnivores which mean they consume plants and what?,"['rubbish', 'drink water', 'eat meat', 'four legs', 'sleep']"
Dreaming scary things is likely to lead to waking up with a sense of this?,"['sleepwalking', 'might awaken', 'fear', 'nightmares', 'hungry']"
Drinking a lot of alcohol leads to what?,"['injuries', 'do stupid things', 'amnesia', 'hangover', 'drunkenness']"
Drinking alcohol can make me lose this?,"['socialize', 'eating', 'fool', 'dance', 'sleep at night']"
Drinking alcohol to excess can cause you to begin doing what?,"['accidents', 'wicked', 'crying', 'vomiting', 'frequent urination']"
Driving a car along a scenic highway can have what calming affect?,"['relaxation', 'stress', 'getting somewhere', 'transportation', 'boredom']"
Driving is the most popular form of personal what?,"['transportation', 'traffic jams', 'moving', 'status', 'traffic accident']"
Driving to work had become a chore for her and she felt what at the slightest hint of traffic?,"['promotion', 'pressure', 'busy', 'getting there', 'impatience']"
Dry and cracked heels are found on?,"['boot', 'the desert', 'loaf of bread', 'foot', 'hock']"
During offiical judging what must be avoided?,"['controversy', 'prejudice', 'verdict', 'statement', 'evaluating']"
During one the many famous helicopter tours you can get a bald eagle perceptive of what natural landmark?,"['forrest', 'grand canyon', 'colorado', 'mountains', 'u.s']"
During the brainstorming session there was a lot of talking and what?,"['obtaining information', 'exchange of ideas', 'sharing information', 'conversation', 'gathhering of information']"
During what could you hear a viola along with many other types of instruments?,"['viola case', 'concert', 'orchestra', 'symphony', 'string quartet']"
Dust accumulates where?,"['ceiling', 'library', 'surface of earth', 'most buildings', 'desktop']"
Dying due to suffocation means you have what?,"['getting cold', 'would cease to exist', 'no more air', 'stop breathing', 'death and decay']"
Each generation thinks the next's what just sounds like noise?,"['music', 'ball stopped', 'quietness', 'alerting', 'silence']"
Each little cough and noise was amplified during the what of the softly hummed hymn?,"['quietness', 'silent', 'quite', 'silence', 'music']"
Early humans would do what on the walls of caves?,"['lay eggs', 'draw pictures', 'make tools', 'compete with each other', 'eat fruit']"
East coast areas such as Florida are found where?,"['florida', 'denmark', 'united states', 'map', 'california']"
Eating breakfast of garlic might lead to some what?,"['tasty', 'bad breath', 'dirty dishes', 'better day', 'gain energy']"
Eating breakfast with a large family leads to a pile of what in the sink?,"['fullness', 'underwear', 'bad breath', 'better day', 'dirty dishes']"
Eating midday leads people to get what?,"['defecating', 'feces', 'get tired', 'gaining weight', 'slacking']"
Eating to much will lead to what kind of pain?,"['food', 'getting full', 'full stomach', 'full belly', 'stomach aches']"
Erin struggled to be entertaining.  She didn't have many friends and wanted people to do what to her?,"['like', 'happiness', 'favors', 'fulfillment', 'laughter']"
Even though it's a weekday Bob stays up late watching television instead of going to bed. Why does it do this?,"['pregnancy', 'hungry', 'insomnia', 'sleeping in', 'making love']"
Even when one of the slaves dropped dead on the line the rest were forced to keep what?,"['being', 'working', 'alive', 'jumping', 'breathing']"
Evening began to fall and the woods came to life with different animals that preferred the what?,"['daytime', 'night', 'afternoon', 'early morning', 'dawn']"
Evening comes after what?,"['sunset', 'daytime', 'dawn', 'night', 'early morning']"
Every living person has what on top of their neck?,"['immune system', 'belly button', 'two eyes', 'one head', 'name']"
Every person would get along in a what?,"['eat well', 'live comfortably', 'perfect world', 'fruit bowl', 'own house']"
Everybody wants to be the frontman or play guitar in a what?,"['case', 'concert', 'rock band', 'toy store', 'music room']"
Everyone in John's band plays brass instruments.  What type of band might it be?,"['annoy mom', 'jazz band', 'brass band', 'punk rock', 'marching band']"
Everyone is ordinary but we are often told we are what?,"['unbelievable', 'strange', 'special', 'ugly', 'exceptional']"
Everyone is special. Everyone has what?,"['feelings', 'unique personality', 'values', 'experiences', 'different standards']"
Everything is bigger at a steak house where?,"['new york', 'texas', 'japan', 'town', 'montana']"
Exercise seems foreign to those who are just plain what?,"['sloth', 'condition heart', 'lazy', 'work out', 'couch potato']"
Exercising by lifting weights will give you large what?,"['breaths', 'shortness of breath', 'muscles', 'effort', 'discipline']"
Exercising daily requires a lot of what mental toughness?,"['effort', 'exercise', 'discipline', 'muscles', 'run']"
Expressing yourself by using complicated words and technical language is likely to draw what from you audience?,"['communication', 'getting arrested', 'stage fright', 'blank stares', 'applause']"
Expressing yourself in public without wearing pants will likely result in what?,"['happiness', 'blank stares', 'communication', 'getting arrested', 'stage fright']"
Fabric is cut to order at what type of seller?,"['curtains', 'tailor shop', 'clothing store', 'sewing room', 'hardware store']"
Faith can be defined as belief without what?,"['washing toilets', 'disbelief', 'knowledge', 'despair', 'move mountains']"
Faith in a high power is said to provide solace in times of what?,"['move mountains', 'despair', 'uneducated', 'disbelief', 'knowledge']"
Farmers will plant an apple tree because they do what?,"['bud', 'state park', 'provide shelter', 'back yard', 'produce fruit']"
Farting while not at home may cause you to experience what?,"['make noise', 'will smell bad smell', 'making noise', 'public disapproval', 'odour']"
Feathers are less common in what because many people are allergic?,"['cap', 'house', 'bird cage', 'birds nest', 'pillow']"
Feet that have been in boots all day will what?,"['walk', 'hands', 'stay still', 'stink', 'sing']"
Female ants don't have wings and can only get around by doing what?,"['crawl', 'follow one another', 'running', 'circle food', 'fly']"
Fencing is a sport and like other sports their is a risk of what?,"['pain', 'small cuts', 'competition', 'injury', 'puncture wound']"
Fencing is a sport in which participants use a what?,"['sword', 'competition', 'fence post', 'protection', 'dexterity']"
Finding information in an old library requires what in a card catalog?,"['chewing', 'searching for', 'ask questions', 'logic', 'time']"
Finding information requires what other than research materials?,"['internet', 'ask questions', 'time', 'searching for', 'logic']"
Food is usually stored on what in your pantry?,"['bottom floor', 'shop', 'kitchen', 'shelf', 'refrigerators']"
Food must be freeze dried before it is taken on what vehicle?,"['fairgrounds', ""friend's house"", 'space shuttle', 'oven', 'microwave']"
Food on what kind of transport is normally freeze dried or dehydrated?,"[""friend's house"", 'bicycle', 'space shuttle', 'kitchen', 'disneyland']"
For a stressed out mother a baby is cutest when it is able to what?,"['like spinach', 'laugh', 'sleep soundly', 'giggle', 'clap hands']"
For convenience some customers want things straight to the doorstep and use what?,"['mail orders', 'demand satisfaction', 'place money on counter', 'pay merchants with money', 'spend money']"
For what reason did he commit the killing?,"['investigation', 'disease', 'punishment', 'retribution', 'going to jail']"
Frankie found a bone in her good.  It probably belonged to what?,"['father', 'arm', 'cow', 'museum', 'human body']"
Friday wasn't in the mood to be answering questions.  After a ten hour interrogation he was what?,"['getting tired', 'sharing information', 'rich', 'teaching', 'boredom']"
From what country is the fox?,"['rural area', 'england', 'mountains', 'hen house', 'united states']"
From where can you learn the anatomy of a blowfish?,"['atlantic ocean', 'france', 'fish market', 'books', 'sushi restaurant']"
From where can you take home a highlight?,"['case', 'office drawer', 'marker store', 'desk drawer', 'office supply store']"
From where do elephants originate?,"['china', 'circus', 'africa', 'zoo', 'india']"
From where do you buy a train ticket in person?,"['ticket booth', 'train depot', 'purse', 'manual', ""conductor's hand""]"
From where does a mother read a story to their child?,"['tall building', 'british building', 'mall', 'book of stories', 'moon']"
From where is a submarine launched?,"['shipyard', 'land', 'sea', 'shoot icbm missile', 'water']"
From where would you expect to pick up a rock?,"['bridge', 'mountain range', 'mountains', 'ground', 'forest']"
From where would you take a magazine home after paying?,"['bookstore', 'library', 'bed', 'shop', 'airport']"
Gary bought stock in a fortune 500 company before going off to the tournament.   He also bought a new what?,"['fishing rod', 'machine gun', 'hatred', 'artillery', 'double in value']"
George hated changes to his salary. He wanted his supply  of money to be what?,"['remain stable', 'stagnant', 'constant', 'unpleasant', 'permanent']"
George liked hunting foxes.  Where might he go to do so?,"['hen house', 'painting', 'virginia', 'california', ""lion's den""]"
George ruined the surprise.  How did he do so?,"['hiding', 'accidentally', 'expectation', 'knowingly', 'planned']"
George wanted to go home.  He was sick and tired of his what?,"['outside', 'charming', 'city or town', 'vacation', 'apartment']"
Getting a gift you wanted for you birthday will cause what state?,"['disappointment', 'angry', 'then have', 'being happy', 'headaches']"
Getting drunk excessively can lead to chronic what?,"['death', 'injury', 'violence', 'illness', 'beer goggles']"
Getting drunk often leads to what when people have disagreements?,"['violence', 'erections', 'illness', 'suffering', 'injury']"
Getting only a small taste might leave you what?,"['new realization', 'handicap', 'joy', 'ownership', 'wanting more']"
Getting wet means you are what?,"['shivering', 'getting cold', 'shiver', 'shrinkage', 'not dry']"
Given people's opinion of congress what place might they give the mascot of a weasel to?,"['state', 'washington dc', 'henhouse', 'public office', 'out of doors']"
Glass that hasn't been treated to be extra strong is what?,"['weak', 'fragile', 'forceless', 'regular', 'flimsy']"
Going in an air conditioned room to cool off is a good way to get what from hot weather?,"['rest', 'go swimming', 'relief', 'calm down', 'change']"
Going into a trance is often associated with what sort of unconscious involuntary movement at night?,"['hungry', 'peacefulness', 'religious experience', 'loss of balance', 'sleepwalking']"
Going public about a controversial issue is likely to get what?,"['wide acceptance', 'consequences', 'getting high', 'media attention', 'press coverage']"
Going to bed would help someone to do what?,"['relax', 'dreaming of', 'falling asleep', 'rest', 'making love']"
Gold collected by people with peg legs and parrots was stored where?,"['ring', 'jewelry store', 'treasure chest', 'fort knox', 'church']"
Google Maps and other highway and street GPS services have replaced what?,"['united states', 'mexico', 'countryside', 'atlas', 'oceans']"
Grapes are often grown in what sort of location in order to produce a beverage that impairs the senses when inbibed?,"['rows', 'bowl of fruit', 'winery', 'painting', 'fruit stand']"
Graphite is referred to as lead in what writing implement?,"['lead pencil', 'black', 'very heavy', 'news article', 'card game']"
Greed will cause a real estate agent to do what in order to sell a house?,"['succeed', 'lie', 'cause business profits', 'buy food', 'get']"
Greg's performance was mediocre.  What might his habits he like?,"['distinguished', 'unique', 'peculiar', 'exceptional', 'outstanding']"
HOw do you ask someone to entertain you ?,"['hot', 'happy', 'liked', 'please', 'now']"
HOw do you carry potatos home?,"['grocery store', 'grocery bag', 'restaurants', ""farmer's market"", 'bushel basket']"
HOw do you describe a bad real estate agent?,"['stealing', 'exaggerate', 'incompetent', 'cover up', 'charming']"
HOw do you watch film before its on video?,"['wear contact lenses', 'go to movies', 'open eyes', 'have eyes', 'rent one']"
Hammers are made of metal and what other item?,"['softness', 'plastic', 'stone', 'wooden', 'toolbox']"
Happy couples tend to what more so than unhappy couples that do it just as much?,"['part in acrimonious ways', 'enjoy sex', 'have sex', 'divorce', 'enjoy movie']"
Having a lot of food is likely to make someone have a certain sensation of what?,"['feel full', 'feeling satisfied', 'havey food', 'become tired', 'digestion']"
Having children do what after dinner helps to teach them responsibilty?,"['need care', 'watch television', 'come home', 'wash dishes', 'complain']"
Having food all the time can lead to what?,"['digesting', 'not hungry', 'swelling', 'weight gain', 'gas']"
Having fun with people you care about will likely cause you to do what?,"['better mood', 'smiling', 'feeling better', 'feeling happy', 'being excited']"
Having lunch too many times can result in what?,"['you die', 'obesity', 'feeling satisfied', 'feel full', 'digestion']"
Having to fight inflation brings a lot of this sentiment to the public?,"['poverty', 'higher interest rates', 'saving money', 'not very much', 'dissatisfaction']"
Having your marijuana in bags help keep it what?,"['entertainment', 'neat', 'happy', 'intoxicating', 'illegal']"
He borrowed a metal detector to try to find his ring that he what while pulling weeds?,"['found', 'lost', 'loose', 'lose', 'hide']"
He bought a warranty for the fragile objects just it case they what?,"['sound well', 'become broken', 'patch up', 'disappear from sight', 'gain speed']"
He called bull when his friend said a bull can be what?,"['feeble', 'bullbleep', 'cow', 'female', 'charging prey']"
He could never remember the last line of the what he was set to perform?,"['transportation system', 'stanza', 'park', 'add information on spreadsheet', 'electromagnetic spectrum']"
He curled up and tried to fall on his shoulder so his arm or what wouldn't take the hit?,"['leg', 'garment', 'torso', 'body', 'road']"
He decided to speak up and be what about the written assignment the students found unfair?,"['verbal', 'aforewritten', 'unwritten', 'silent', 'oral']"
He didn't have a clean plate so he ate the meal in a what?,"['saucer', 'fork', 'cup', 'bowl', 'food']"
He didn't know that good things can be posion in large doses.  He thought that he was just eating an essential what?,"['antidote', 'consumable', 'nutrient', 'vitamin', 'medicine']"
He didn't like washing clothes because he thought the machine would do what to his good jeans?,"['ruin', 'shrinkage', 'wear out', 'wet clothes', 'torn']"
He fantasied about getting a what while driving to work and the pros and cons of the extra responsibilities and benefits?,"['new car', 'promotion', 'boredom', 'impatience', 'pressure']"
He feels like just a cog in a machine or just a number in a cubicle when he is working where?,"['planner', 'math book', 'office', 'mathematics', 'phonebook']"
He had a great time with his what brother?,"['small', 'horrible', 'awful', 'little', 'terrible']"
He had to climb a ladder and get through a lot of dust to find the family photos up where?,"['clouds', 'attic', 'ground', 'fridge', 'television']"
He had to fake reading because he was what?,"['illiteracy', 'watching tv', 'acculturation', 'at grade level', 'illiterate']"
